00W7 00W8 00W8 00W8 00W8 00W8 W8E6 00MS W8E4 00W8 00W8 00W8 00W8 00W9 X
00W4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 00MS 0000 0000 0000 0000 0000 0000 0000 0000 00MS 0000 00W6 X
00W4 0000 0000 00W7 00W9 0000 0000 0000 0000 00W7 00W9 0000 0000 00W6 X
00W4 0000 0000 00W1 00W3 0000 0000 0000 0000 00W1 00W3 0000 0000 00W6 X
W4E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00W6 X
00MS 0000 0000 0000 0000 0000 0000 00ME 0000 0000 0000 0000 0000 00W6 X
W4E8 0000 0000 0000 0000 0000 ROCK 0000 0000 0000 0000 0000 0000 W6E2 X
00W4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00MS X
00W4 0000 0000 00W7 00W9 0000 0000 0000 0000 00W7 00W9 0000 0000 W6E8 X
00W4 0000 0000 00W1 00W3 0000 0000 0000 0000 00W1 00W3 0000 0000 00W6 X
00W4 0000 00MS 0000 0000 0000 0000 0000 0000 0000 0000 00MS 0000 00W6 X
00W4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00W6 X
00W1 00W2 00W2 00W2 00W2 W2E6 00MS W2E4 00W2 00W2 00W2 00W2 00W2 00W3 X
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX
