00W7 00W8 00W8 00W8 00W8 00W8 00W8 00W8 00W8 00W8 00W8 00W8 00W8 00W9 X
00W4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00W6 X
W4E2 0000 0000 0000 0000 0000 W4E8 0000 0000 0000 0000 0000 0000 00W6 X
0000 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
W4E8 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 00W4 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 W4E2 0000 0000 0000 0000 0000 0000 00W6 X
00W4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00W6 X
00W1 00W2 00W2 00W2 00W2 00W2 00W2 00W2 00W2 00W2 00W2 00W2 00W2 00W3 X
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX
